driver_id,timestamp,day_of_week,hour_of_day,location_cluster,hours_worked,rides_completed,earnings,wellness_score,preferred_location,avg_ride_duration_minutes
driver_1,2025-04-28 08:19:09,0,8,Banten,2.73,8,136000,84,Jakarta,20.48
driver_1,2025-04-28 11:51:37,0,11,Jakarta,2.83,14,285000,52,Surabaya,12.13
driver_1,2025-04-28 15:33:26,0,15,Surabaya,2.87,13,168000,1,Banten,13.25
driver_1,2025-04-28 18:58:51,0,18,Surabaya,2.04,5,69000,35,Jakarta,24.48
driver_1,2025-04-28 22:57:33,0,22,Surabaya,3.17,11,278000,88,Jakarta,17.29
driver_1,2025-04-28 23:59:16,0,23,Jakarta,0.81,2,53000,32,Banten,24.3
driver_1,2025-04-29 00:34:24,1,0,Surabaya,0.5,1,24000,28,Surabaya,30.0
driver_1,2025-04-29 03:19:19,1,3,Jakarta,2.19,4,98000,52,Bandung,32.85
driver_1,2025-04-29 06:27:55,1,6,Semarang,2.51,5,74000,95,Semarang,30.12
driver_1,2025-04-29 09:18:23,1,9,Banten,2.27,11,155000,62,Bandung,12.38
driver_1,2025-04-29 10:04:49,1,10,Surabaya,0.61,2,48000,34,Banten,18.3
driver_1,2025-04-29 11:12:53,1,11,Semarang,0.91,1,12000,14,Banten,54.6
driver_1,2025-04-29 14:03:28,1,14,Bandung,2.27,2,41000,61,Banten,68.1
driver_1,2025-04-29 14:39:37,1,14,Jakarta,0.5,1,11000,23,Semarang,30.0
driver_1,2025-04-29 16:14:30,1,16,Jakarta,1.25,2,34000,13,Bandung,37.5
driver_10,2025-04-25 04:11:39,4,4,Surabaya,2.8,6,87000,42,Bandung,28.0
driver_10,2025-04-25 07:34:56,4,7,Surabaya,2.71,6,84000,3,Semarang,27.1
driver_10,2025-04-25 08:37:46,4,8,Jakarta,0.83,4,102000,90,Bandung,12.45
driver_10,2025-04-25 10:34:37,4,10,Semarang,1.55,7,107000,34,Surabaya,13.29
driver_10,2025-04-25 11:55:42,4,11,Bandung,1.08,1,26000,1,Bandung,64.8
driver_10,2025-04-25 13:32:04,4,13,Semarang,1.28,6,157000,73,Banten,12.8
driver_10,2025-04-25 14:10:31,4,14,Bandung,0.51,2,43000,31,Jakarta,15.3
driver_10,2025-04-25 15:49:28,4,15,Jakarta,1.31,2,27000,38,Semarang,39.3
driver_10,2025-04-25 17:27:23,4,17,Semarang,1.29,6,164000,96,Semarang,12.9
driver_10,2025-04-25 18:24:20,4,18,Jakarta,0.75,2,22000,82,Banten,22.5
driver_10,2025-04-25 21:01:26,4,21,Jakarta,2.09,7,155000,35,Banten,17.91
driver_10,2025-04-25 21:49:38,4,21,Surabaya,0.64,1,18000,60,Jakarta,38.4
driver_10,2025-04-26 00:13:11,5,0,Jakarta,1.91,9,157000,79,Semarang,12.73
driver_10,2025-04-26 01:25:12,5,1,Surabaya,0.96,2,38000,62,Banten,28.8
driver_10,2025-04-26 04:44:41,5,4,Bandung,2.65,8,232000,74,Banten,19.88
driver_10,2025-04-26 07:44:40,5,7,Jakarta,2.39,5,117000,49,Semarang,28.68
driver_10,2025-04-26 09:12:35,5,9,Surabaya,1.16,1,24000,73,Semarang,69.6
driver_10,2025-04-26 12:50:10,5,12,Surabaya,2.89,8,180000,97,Semarang,21.68
driver_10,2025-04-26 16:28:44,5,16,Bandung,2.73,7,147000,69,Bandung,23.4
driver_10,2025-04-26 17:35:23,5,17,Jakarta,0.88,3,37000,84,Banten,17.6
driver_10,2025-04-26 19:53:56,5,19,Jakarta,1.84,8,112000,57,Semarang,13.8
driver_10,2025-04-26 21:33:43,5,21,Jakarta,1.32,6,138000,78,Banten,13.2
driver_10,2025-04-26 23:06:55,5,23,Bandung,1.24,6,107000,72,Banten,12.4
driver_10,2025-04-27 00:13:24,6,0,Bandung,0.88,1,13000,26,Semarang,52.8
driver_10,2025-04-27 02:31:49,6,2,Bandung,1.33,4,110000,62,Bandung,19.95
driver_10,2025-04-27 04:41:57,6,4,Banten,1.73,4,104000,58,Bandung,25.95
driver_10,2025-04-27 06:07:11,6,6,Surabaya,1.1,3,48000,93,Banten,22.0
driver_10,2025-04-27 07:59:51,6,7,Jakarta,1.49,2,44000,82,Banten,44.7
driver_10,2025-04-27 11:28:31,6,11,Banten,2.77,8,157000,0,Semarang,20.77
driver_10,2025-04-27 12:15:16,6,12,Banten,0.61,1,23000,44,Jakarta,36.6
driver_10,2025-04-27 15:23:29,6,15,Bandung,1.73,5,88000,62,Bandung,20.76
driver_10,2025-04-27 17:16:59,6,17,Surabaya,1.51,7,126000,70,Bandung,12.94
driver_10,2025-04-27 21:07:19,6,21,Jakarta,3.07,8,143000,78,Bandung,23.02
driver_10,2025-04-27 23:20:32,6,23,Semarang,1.77,8,139000,84,Semarang,13.28
driver_10,2025-04-28 02:22:00,0,2,Jakarta,2.41,7,116000,57,Semarang,20.66
driver_10,2025-04-28 06:17:18,0,6,Surabaya,1.6,3,84000,16,Semarang,32.0
driver_10,2025-04-28 10:09:01,0,10,Bandung,1.87,5,121000,64,Jakarta,22.44
driver_10,2025-04-28 13:07:55,0,13,Jakarta,2.37,5,74000,69,Banten,28.44
driver_10,2025-04-28 14:57:05,0,14,Jakarta,1.45,1,26000,7,Semarang,87.0
driver_10,2025-04-28 16:40:04,0,16,Jakarta,1.36,6,163000,79,Surabaya,13.6
driver_10,2025-04-28 18:28:09,0,18,Semarang,1.44,1,19000,59,Banten,86.4
driver_10,2025-04-28 18:59:31,0,18,Semarang,0.5,1,16000,46,Bandung,30.0
driver_10,2025-04-28 20:27:27,0,20,Surabaya,1.16,2,54000,17,Semarang,34.8
driver_10,2025-04-28 21:14:14,0,21,Semarang,0.61,2,51000,20,Bandung,18.3
driver_10,2025-04-29 00:58:10,1,0,Semarang,2.97,9,246000,70,Jakarta,19.8
driver_10,2025-04-29 01:45:49,1,1,Banten,0.63,1,12000,2,Semarang,37.8
driver_10,2025-04-29 03:23:02,1,3,Bandung,1.29,2,52000,7,Semarang,38.7
driver_10,2025-04-29 04:56:58,1,4,Jakarta,1.2,2,47000,86,Bandung,36.0
driver_10,2025-04-29 07:40:01,1,7,Bandung,2.17,9,180000,16,Jakarta,14.47
driver_10,2025-04-29 09:03:24,1,9,Bandung,1.11,3,46000,34,Surabaya,22.2
driver_2,2025-04-25 02:54:16,4,2,Surabaya,1.77,3,67000,35,Surabaya,35.4
driver_2,2025-04-25 03:43:25,4,3,Jakarta,0.65,1,25000,35,Surabaya,39.0
driver_2,2025-04-25 07:28:34,4,7,Banten,3.0,8,131000,63,Banten,22.5
driver_2,2025-04-25 08:58:40,4,8,Semarang,1.2,6,118000,62,Surabaya,12.0
driver_2,2025-04-25 12:45:07,4,12,Surabaya,3.01,11,331000,98,Surabaya,16.42
driver_2,2025-04-25 13:53:27,4,13,Bandung,0.91,1,20000,77,Bandung,54.6
driver_2,2025-04-25 15:46:19,4,15,Banten,1.49,1,22000,73,Surabaya,89.4
driver_2,2025-04-25 17:00:52,4,17,Banten,0.99,4,78000,55,Semarang,14.85
driver_2,2025-04-25 19:32:33,4,19,Banten,2.01,9,191000,78,Jakarta,13.4
driver_2,2025-04-25 23:32:40,4,23,Surabaya,2.21,2,45000,81,Surabaya,66.3
driver_2,2025-04-26 02:47:15,5,2,Banten,2.59,8,148000,53,Semarang,19.42
driver_2,2025-04-26 03:35:03,5,3,Bandung,0.63,3,69000,42,Semarang,12.6
driver_2,2025-04-26 04:29:22,5,4,Jakarta,0.72,3,71000,11,Jakarta,14.4
driver_2,2025-04-26 07:27:23,5,7,Bandung,2.37,11,200000,67,Surabaya,12.93
driver_2,2025-04-26 09:17:14,5,9,Surabaya,1.45,6,134000,90,Surabaya,14.5
driver_2,2025-04-26 09:59:05,5,9,Surabaya,0.55,2,34000,27,Surabaya,16.5
driver_2,2025-04-26 10:39:08,5,10,Banten,0.53,1,21000,0,Banten,31.8
driver_2,2025-04-26 13:09:32,5,13,Surabaya,2.0,2,47000,67,Jakarta,60.0
driver_2,2025-04-26 14:35:50,5,14,Bandung,1.15,3,58000,55,Surabaya,23.0
driver_2,2025-04-26 18:07:43,5,18,Semarang,2.81,10,146000,22,Banten,16.86
driver_2,2025-04-26 19:31:53,5,19,Jakarta,1.12,2,36000,77,Bandung,33.6
driver_2,2025-04-26 22:32:04,5,22,Banten,2.4,6,94000,3,Jakarta,24.0
driver_2,2025-04-27 00:14:53,6,0,Banten,1.36,2,40000,1,Surabaya,40.8
driver_2,2025-04-27 01:48:58,6,1,Semarang,1.25,4,74000,55,Bandung,18.75
driver_2,2025-04-27 03:45:24,6,3,Semarang,1.55,6,82000,27,Semarang,15.5
driver_2,2025-04-27 06:48:14,6,6,Surabaya,2.43,7,126000,85,Banten,20.83
driver_2,2025-04-27 10:19:24,6,10,Surabaya,2.81,10,227000,0,Bandung,16.86
driver_2,2025-04-27 13:59:56,6,13,Semarang,2.93,6,122000,72,Banten,29.3
driver_2,2025-04-27 17:59:39,6,17,Surabaya,3.19,7,141000,18,Banten,27.34
driver_2,2025-04-27 21:36:12,6,21,Semarang,2.88,9,174000,80,Bandung,19.2
driver_2,2025-04-28 00:09:05,0,0,Banten,2.03,9,149000,78,Jakarta,13.53
driver_2,2025-04-28 03:06:04,0,3,Semarang,2.35,8,190000,15,Surabaya,17.62
driver_2,2025-04-28 04:26:40,0,4,Bandung,1.07,4,110000,99,Bandung,16.05
driver_2,2025-04-28 04:58:44,0,4,Bandung,0.5,1,11000,23,Surabaya,30.0
driver_2,2025-04-28 07:38:23,0,7,Semarang,2.12,2,37000,11,Bandung,63.6
driver_2,2025-04-28 09:03:08,0,9,Semarang,1.12,3,64000,73,Semarang,22.4
driver_2,2025-04-28 12:08:35,0,12,Surabaya,2.47,3,86000,65,Semarang,49.4
driver_2,2025-04-28 15:27:41,0,15,Bandung,2.65,2,41000,71,Banten,79.5
driver_2,2025-04-28 16:42:56,0,16,Banten,1.0,4,82000,66,Bandung,15.0
driver_2,2025-04-28 17:44:26,0,17,Surabaya,0.81,3,45000,59,Surabaya,16.2
driver_2,2025-04-28 20:49:07,0,20,Semarang,2.45,6,114000,72,Surabaya,24.5
driver_2,2025-04-28 22:00:17,0,22,Bandung,0.95,3,54000,37,Jakarta,19.0
driver_2,2025-04-29 01:27:53,1,1,Bandung,2.76,5,71000,13,Banten,33.12
driver_2,2025-04-29 02:22:58,1,2,Semarang,0.73,2,40000,87,Banten,21.9
driver_2,2025-04-29 03:24:33,1,3,Jakarta,0.81,3,80000,27,Banten,16.2
driver_2,2025-04-29 04:18:57,1,4,Banten,0.72,3,61000,57,Banten,14.4
driver_2,2025-04-29 07:56:42,1,7,Semarang,2.89,6,126000,62,Surabaya,28.9
driver_2,2025-04-29 11:21:33,1,11,Jakarta,2.72,11,304000,35,Jakarta,14.84
driver_2,2025-04-29 15:05:11,1,15,Semarang,1.19,4,45000,79,Jakarta,17.85
driver_2,2025-04-29 17:02:05,1,17,Banten,1.55,5,115000,83,Jakarta,18.6
driver_3,2025-04-25 02:00:18,4,2,Bandung,1.05,5,112000,26,Bandung,12.6
driver_3,2025-04-25 02:35:06,4,2,Banten,0.5,2,37000,11,Surabaya,15.0
driver_3,2025-04-25 04:57:49,4,4,Bandung,1.89,8,190000,18,Banten,14.17
driver_3,2025-04-25 05:50:03,4,5,Bandung,0.69,1,11000,60,Banten,41.4
driver_3,2025-04-25 08:48:52,4,8,Bandung,2.37,6,75000,9,Bandung,23.7
driver_3,2025-04-25 10:07:28,4,10,Semarang,1.04,4,92000,59,Bandung,15.6
driver_3,2025-04-25 12:37:40,4,12,Jakarta,2.0,9,184000,29,Bandung,13.33
driver_3,2025-04-25 16:04:47,4,16,Bandung,1.21,3,42000,23,Bandung,24.2
driver_3,2025-04-25 18:39:36,4,18,Semarang,2.05,4,87000,85,Banten,30.75
driver_3,2025-04-25 22:25:38,4,22,Surabaya,3.01,3,87000,10,Banten,60.2
driver_3,2025-04-26 01:29:02,5,1,Surabaya,2.44,10,222000,55,Banten,14.64
driver_3,2025-04-26 03:31:39,5,3,Semarang,1.63,4,74000,22,Jakarta,24.45
driver_3,2025-04-26 06:23:58,5,6,Surabaya,1.78,4,77000,11,Banten,26.7
driver_3,2025-04-26 09:22:56,5,9,Bandung,1.82,8,126000,71,Jakarta,13.65
driver_3,2025-04-26 13:02:01,5,13,Surabaya,2.92,13,402000,33,Jakarta,13.48
driver_3,2025-04-26 15:34:42,5,15,Surabaya,2.03,10,209000,56,Banten,12.18
driver_3,2025-04-26 17:17:15,5,17,Semarang,1.36,2,40000,3,Bandung,40.8
driver_3,2025-04-26 19:11:46,5,19,Bandung,1.52,7,112000,78,Banten,13.03
driver_3,2025-04-26 21:11:33,5,21,Bandung,1.59,7,106000,74,Surabaya,13.63
driver_3,2025-04-26 22:52:08,5,22,Jakarta,1.33,3,46000,2,Bandung,26.6
driver_3,2025-04-27 02:16:36,6,2,Semarang,2.72,12,306000,58,Surabaya,13.6
driver_3,2025-04-27 03:17:41,6,3,Banten,0.81,4,50000,61,Semarang,12.15
driver_3,2025-04-27 05:26:07,6,5,Banten,1.71,7,182000,24,Bandung,14.66
driver_3,2025-04-27 08:58:09,6,8,Jakarta,2.83,14,262000,78,Surabaya,12.13
driver_3,2025-04-27 12:15:41,6,12,Jakarta,2.63,3,72000,93,Semarang,52.6
driver_3,2025-04-27 15:21:38,6,15,Surabaya,2.41,10,196000,51,Semarang,14.46
driver_3,2025-04-27 16:08:12,6,16,Semarang,0.61,1,20000,38,Bandung,36.6
driver_3,2025-04-27 19:04:30,6,19,Banten,2.35,11,252000,64,Bandung,12.82
driver_3,2025-04-27 21:47:54,6,21,Jakarta,2.17,6,161000,2,Jakarta,21.7
driver_3,2025-04-27 23:53:07,6,23,Bandung,1.67,4,100000,79,Semarang,25.05
driver_3,2025-04-28 02:08:55,0,2,Bandung,1.8,1,14000,44,Semarang,108.0
driver_3,2025-04-28 04:14:27,0,4,Jakarta,1.67,1,26000,79,Banten,100.2
driver_3,2025-04-28 08:07:30,0,8,Banten,3.11,9,258000,6,Bandung,20.73
driver_3,2025-04-28 11:41:59,0,11,Semarang,2.85,3,80000,66,Semarang,57.0
driver_3,2025-04-28 12:41:06,0,12,Semarang,0.79,2,27000,0,Banten,23.7
driver_3,2025-04-28 15:47:46,0,15,Semarang,2.48,12,267000,67,Jakarta,12.4
driver_3,2025-04-28 17:33:42,0,17,Surabaya,1.4,1,20000,9,Jakarta,84.0
driver_3,2025-04-28 21:01:39,0,21,Surabaya,2.76,4,53000,4,Semarang,41.4
driver_3,2025-04-28 23:58:21,0,23,Jakarta,2.35,7,137000,97,Surabaya,20.14
driver_3,2025-04-29 00:31:42,1,0,Bandung,0.5,1,20000,86,Surabaya,30.0
driver_3,2025-04-29 03:45:12,1,3,Surabaya,2.57,2,49000,62,Surabaya,77.1
driver_3,2025-04-29 07:34:01,1,7,Jakarta,3.04,13,378000,58,Surabaya,14.03
driver_3,2025-04-29 09:45:02,1,9,Bandung,1.75,2,37000,7,Bandung,52.5
driver_3,2025-04-29 12:13:06,1,12,Banten,1.97,8,187000,22,Semarang,14.78
driver_3,2025-04-29 13:46:29,1,13,Banten,1.24,4,97000,99,Surabaya,18.6
driver_3,2025-04-29 14:44:12,1,14,Banten,0.76,1,11000,12,Jakarta,45.6
driver_3,2025-04-29 15:24:26,1,15,Bandung,0.53,1,11000,84,Bandung,31.8
driver_3,2025-04-29 17:33:36,1,17,Surabaya,1.72,5,104000,64,Bandung,20.64
driver_3,2025-04-29 20:32:25,1,20,Jakarta,2.37,2,40000,2,Jakarta,71.1
driver_3,2025-04-30 00:11:11,2,0,Bandung,2.24,6,112000,60,Banten,22.4
driver_4,2025-04-25 02:24:12,4,2,Banten,1.37,3,45000,10,Surabaya,27.4
driver_4,2025-04-25 03:59:00,4,3,Bandung,1.25,2,26000,29,Banten,37.5
driver_4,2025-04-25 04:29:16,4,4,Bandung,0.5,2,26000,2,Semarang,15.0
driver_4,2025-04-25 06:39:57,4,6,Banten,1.73,2,52000,31,Surabaya,51.9
driver_4,2025-04-25 07:37:08,4,7,Banten,0.76,1,13000,68,Banten,45.6
driver_4,2025-04-25 10:39:16,4,10,Banten,2.43,12,159000,12,Semarang,12.15
driver_4,2025-04-25 11:16:36,4,11,Semarang,0.5,1,25000,71,Banten,30.0
driver_4,2025-04-25 15:16:24,4,15,Surabaya,3.19,5,81000,45,Banten,38.28
driver_4,2025-04-25 18:26:16,4,18,Bandung,1.91,5,119000,31,Jakarta,22.92
driver_4,2025-04-25 22:25:26,4,22,Semarang,3.19,5,125000,28,Bandung,38.28
driver_4,2025-04-26 00:06:35,5,0,Jakarta,1.35,4,110000,22,Surabaya,20.25
driver_4,2025-04-26 00:51:59,5,0,Semarang,0.6,1,26000,77,Semarang,36.0
driver_4,2025-04-26 04:21:03,5,4,Surabaya,1.54,5,140000,2,Semarang,18.48
driver_4,2025-04-26 05:27:46,5,5,Surabaya,0.88,1,15000,64,Banten,52.8
driver_4,2025-04-26 06:08:31,5,6,Bandung,0.53,2,38000,59,Semarang,15.9
driver_4,2025-04-26 06:52:45,5,6,Banten,0.59,2,45000,72,Bandung,17.7
driver_4,2025-04-26 07:27:43,5,7,Bandung,0.5,1,15000,72,Bandung,30.0
driver_4,2025-04-26 10:17:30,5,10,Surabaya,2.25,6,149000,32,Surabaya,22.5
driver_4,2025-04-26 12:55:27,5,12,Bandung,2.09,7,128000,88,Jakarta,17.91
driver_4,2025-04-26 15:11:47,5,15,Jakarta,1.81,5,98000,86,Bandung,21.72
driver_4,2025-04-26 17:14:00,5,17,Bandung,1.63,8,167000,52,Surabaya,12.22
driver_4,2025-04-26 19:22:41,5,19,Semarang,1.71,2,34000,28,Banten,51.3
driver_4,2025-04-26 20:54:48,5,20,Banten,1.23,5,112000,80,Jakarta,14.76
driver_4,2025-04-27 00:01:12,6,0,Surabaya,2.48,4,82000,54,Bandung,37.2
driver_4,2025-04-27 00:58:13,6,0,Surabaya,0.76,1,13000,41,Jakarta,45.6
driver_4,2025-04-27 04:56:38,6,4,Semarang,3.17,15,486000,9,Banten,12.68
driver_4,2025-04-27 07:11:49,6,7,Semarang,1.8,3,84000,78,Semarang,36.0
driver_4,2025-04-27 08:23:40,6,8,Bandung,0.95,4,66000,32,Bandung,14.25
driver_4,2025-04-27 10:51:44,6,10,Surabaya,1.97,2,30000,12,Banten,59.1
driver_4,2025-04-27 13:28:46,6,13,Jakarta,2.09,9,220000,75,Semarang,13.93
driver_4,2025-04-27 14:39:45,6,14,Jakarta,0.93,2,24000,92,Banten,27.9
driver_4,2025-04-27 18:11:09,6,18,Jakarta,2.81,10,144000,96,Bandung,16.86
driver_4,2025-04-27 20:01:46,6,20,Semarang,1.47,2,44000,29,Jakarta,44.1
driver_4,2025-04-27 21:22:42,6,21,Banten,1.07,2,33000,37,Jakarta,32.1
driver_4,2025-04-27 22:17:03,6,22,Banten,0.72,3,63000,4,Banten,14.4
driver_4,2025-04-28 02:05:31,0,2,Jakarta,2.27,9,194000,21,Banten,15.13
driver_4,2025-04-28 02:52:00,0,2,Bandung,0.61,1,23000,24,Surabaya,36.6
driver_4,2025-04-28 06:15:09,0,6,Jakarta,2.71,5,67000,35,Surabaya,32.52
driver_4,2025-04-28 09:43:14,0,9,Jakarta,2.77,12,216000,12,Semarang,13.85
driver_4,2025-04-28 12:52:55,0,12,Jakarta,1.61,8,193000,76,Banten,12.08
driver_4,2025-04-28 15:36:22,0,15,Bandung,2.17,9,165000,35,Jakarta,14.47
driver_4,2025-04-28 17:28:47,0,17,Bandung,1.49,6,113000,21,Surabaya,14.9
driver_4,2025-04-28 18:39:43,0,18,Surabaya,0.93,4,59000,37,Jakarta,13.95
driver_4,2025-04-28 20:18:32,0,20,Surabaya,1.31,2,41000,88,Bandung,39.3
driver_4,2025-04-29 00:10:31,1,0,Semarang,2.7,11,184000,14,Jakarta,14.73
driver_4,2025-04-29 02:00:29,1,2,Banten,1.45,3,48000,90,Bandung,29.0
driver_4,2025-04-29 03:43:45,1,3,Jakarta,1.37,2,52000,10,Semarang,41.1
driver_4,2025-04-29 07:41:36,1,7,Jakarta,3.16,10,138000,52,Jakarta,18.96
driver_4,2025-04-29 08:44:51,1,8,Banten,0.84,1,16000,94,Bandung,50.4
driver_4,2025-04-29 11:45:26,1,11,Banten,2.4,12,178000,30,Surabaya,12.0
driver_5,2025-04-25 02:02:36,4,2,Bandung,1.08,2,30000,56,Jakarta,32.4
driver_5,2025-04-25 04:20:40,4,4,Surabaya,1.32,2,25000,0,Semarang,39.6
driver_5,2025-04-25 05:57:52,4,5,Banten,1.29,5,87000,66,Banten,15.48
driver_5,2025-04-25 07:49:49,4,7,Banten,1.48,7,138000,90,Banten,12.69
driver_5,2025-04-25 08:53:55,4,8,Jakarta,0.85,4,62000,76,Semarang,12.75
driver_5,2025-04-25 11:08:30,4,11,Semarang,1.79,4,82000,55,Jakarta,26.85
driver_5,2025-04-25 14:37:04,4,14,Banten,1.91,9,209000,93,Bandung,12.73
driver_5,2025-04-25 16:40:15,4,16,Semarang,1.64,6,73000,36,Jakarta,16.4
driver_5,2025-04-25 17:48:48,4,17,Banten,0.91,1,21000,84,Banten,54.6
driver_5,2025-04-25 20:47:21,4,20,Surabaya,2.37,2,26000,30,Jakarta,71.1
driver_5,2025-04-25 22:10:49,4,22,Banten,1.11,3,79000,27,Bandung,22.2
driver_5,2025-04-25 23:49:24,4,23,Bandung,1.31,4,100000,28,Jakarta,19.65
driver_5,2025-04-26 03:22:53,5,3,Semarang,2.84,12,301000,84,Semarang,14.2
driver_5,2025-04-26 07:11:57,5,7,Bandung,3.05,11,239000,52,Surabaya,16.64
driver_5,2025-04-26 07:44:25,5,7,Banten,0.5,1,24000,18,Bandung,30.0
driver_5,2025-04-26 10:54:01,5,10,Surabaya,2.52,2,29000,53,Semarang,75.6
driver_5,2025-04-26 11:26:28,5,11,Banten,0.5,2,29000,48,Jakarta,15.0
driver_5,2025-04-26 12:22:41,5,12,Surabaya,0.75,2,25000,58,Semarang,22.5
driver_5,2025-04-26 12:55:49,5,12,Semarang,0.5,2,23000,30,Banten,15.0
driver_5,2025-04-26 14:49:59,5,14,Jakarta,1.52,2,50000,77,Banten,45.6
driver_5,2025-04-26 17:53:46,5,17,Jakarta,2.44,12,337000,26,Surabaya,12.2
driver_5,2025-04-26 20:44:21,5,20,Jakarta,2.27,11,225000,94,Surabaya,12.38
driver_5,2025-04-26 22:37:11,5,22,Semarang,1.49,4,70000,21,Jakarta,22.35
driver_5,2025-04-27 00:09:14,6,0,Surabaya,1.23,3,63000,97,Banten,24.6
driver_5,2025-04-27 02:17:06,6,2,Surabaya,1.69,6,104000,78,Semarang,16.9
driver_5,2025-04-27 03:07:08,6,3,Semarang,0.67,2,26000,80,Surabaya,20.1
driver_5,2025-04-27 04:34:14,6,4,Banten,1.16,5,101000,16,Banten,13.92
driver_5,2025-04-27 05:29:47,6,5,Semarang,0.73,2,45000,18,Semarang,21.9
driver_5,2025-04-27 06:23:21,6,6,Banten,0.71,1,22000,4,Banten,42.6
driver_5,2025-04-27 10:21:04,6,10,Semarang,2.99,2,51000,5,Jakarta,89.7
driver_5,2025-04-27 13:52:13,6,13,Semarang,2.81,7,98000,2,Banten,24.09
driver_5,2025-04-27 15:04:57,6,15,Jakarta,0.96,3,47000,50,Jakarta,19.2
driver_5,2025-04-27 15:36:05,6,15,Bandung,0.5,1,25000,2,Semarang,30.0
driver_5,2025-04-27 17:29:41,6,17,Banten,1.51,7,109000,92,Jakarta,12.94
driver_5,2025-04-27 18:11:21,6,18,Banten,0.55,2,32000,48,Banten,16.5
driver_5,2025-04-27 20:10:10,6,20,Surabaya,1.57,2,28000,84,Jakarta,47.1
driver_5,2025-04-27 23:58:02,6,23,Banten,3.03,7,117000,39,Bandung,25.97
driver_5,2025-04-28 00:45:29,0,0,Semarang,0.63,1,24000,76,Surabaya,37.8
driver_5,2025-04-28 02:11:14,0,2,Bandung,1.13,5,117000,77,Bandung,13.56
driver_5,2025-04-28 04:16:09,0,4,Semarang,1.65,6,100000,62,Banten,16.5
driver_5,2025-04-28 05:47:52,0,5,Banten,1.21,2,38000,94,Semarang,36.3
driver_5,2025-04-28 08:27:24,0,8,Bandung,2.12,10,234000,34,Surabaya,12.72
